"URL","Code","Fac_Name","Fac_Description","Fac_Address","Fac_Email","Fac_Phone","Fac_Pop_Gender","Fac_Pop_Count","Fac_County","Fac_Region"
"https://www.bop.gov/locations/ccm/cda/","CDA","RRM Dallas","A Residential Reentry Management (RRM) field office.","US ARMED FORCES RESERVE CMPL 344 MARINE FORCES DRGRAND PRAIRIE, TX 75051","CDA-CCM-S@bop.gov","469-928-2182",NA,NA,"DALLAS","South Central Region"
"https://www.bop.gov/locations/institutions/dan/","DAN","FCI Danbury","A low security federal correctional institution with an adjacent minimum security satellite camp.","33 1/2 PEMBROKE STATION ROUTE 37DANBURY, CT 06811","DAN-ExecAssistant-S@bop.gov","203-743-6471","Male and Female",1177,"FAIRFIELD","Northeast Region"
"https://www.bop.gov/locations/institutions/dev/","DEV","FMC Devens","An administrative security federal medical center with an adjacent minimum security satellite camp.","42 PATTON ROAD AYER, MA 01432","DEV-ExecAssistant-S@bop.gov","978-796-1000","Male",1014,"MIDDLESEX","Northeast Region"
"https://www.bop.gov/locations/institutions/dub/","DUB","FCI Dublin","A low security federal correctional institution.","5701 8TH ST - CAMP PARKS DUBLIN, CA 94568","DUB-ExecAssistant-S@bop.gov","925-833-7500","Female",1,"Alameda","Western Region"
"https://www.bop.gov/locations/institutions/dth/","DTH","FPC Duluth","A minimum security federal prison camp.","4464 RALSTON DRIVE DULUTH, MN 55811","DTH-ExecAssistant-S@bop.gov","218-722-8634","Male",663,"SAINT LOUIS","North Central Region"
"https://www.bop.gov/locations/institutions/edg/","EDG","FCI Edgefield","A medium security federal correctional institution with an adjacent minimum security satellite camp.","501 GARY HILL ROAD EDGEFIELD, SC 29824","EDG-ExecAssistant-S@bop.gov","803-637-1500","Male",2045,"Edgefield","Southeast Region"
"https://www.bop.gov/locations/institutions/ere/","ERE","FCI El Reno","A medium security federal correctional institution with an adjacent minimum security satellite camp.","4205 HIGHWAY 66 WEST EL RENO, OK 73036","ERE-ExecAssistant-S@bop.gov","405-262-4875","Male",1195,"CANADIAN","South Central Region"
"https://www.bop.gov/locations/institutions/elk/","ELK","FCI Elkton","A low security federal correctional institution with an adjacent low security satellite prison.","8730 SCROGGS ROAD LISBON, OH 44432","ELK-ExecAssistant-S@bop.gov","330-420-6200","Male",1918,"COLUMBIANA","Northeast Region"
"https://www.bop.gov/locations/institutions/eng/","ENG","FCI Englewood","A low security federal correctional institution with an adjacent minimum security satellite camp and a detention center.","9595 WEST QUINCY AVENUE LITTLETON, CO 80123","ENG-ExecAssistant-S@bop.gov","303-763-4300","Male",969,"JEFFERSON","North Central Region"
"https://www.bop.gov/locations/institutions/est/","EST","FCI Estill","A medium security federal correctional institution with an adjacent minimum security satellite camp.","100 PRISON ROAD ESTILL, SC 29918","EST-ExecAssistant-S@bop.gov","803-625-4607","Male",55,"HAMPTON","Southeast Region"
"https://www.bop.gov/locations/institutions/flp/","FLP","USP Florence - High","A high security U.S. penitentiary.","5880 HWY 67 S FLORENCE, CO 81226","FLX-ExecAssistant-S@bop.gov","719-784-9454","Male",795,"Fremont","North Central Region"
"https://www.bop.gov/locations/institutions/flf/","FLF","FCI Florence","A medium security federal correctional institution with an adjacent minimum security satellite camp.","5880 HWY 67 SOUTH FLORENCE, CO 81226","FLX-ExecAssistant-S@bop.gov","719-784-9100","Male",1412,"Fremont","North Central Region"
"https://www.bop.gov/locations/institutions/for/","FOR","FCI Forrest City Low","A low security federal correctional institution with an adjacent minimum security satellite camp.","1400 DALE BUMPERS ROAD FORREST CITY, AR 72335","FOR-ExecAssistant-S@bop.gov","870-630-6000","Male",1843,"SAINT FRANCIS","South Central Region"
"https://www.bop.gov/locations/institutions/fom/","FOM","FCI Forrest City Medium","A medium security federal correctional institution.","1400 DALE BUMPERS ROAD FORREST CITY, AR 72335","FOR-ExecAssistant-S@bop.gov","870-494-4200","Male",1663,"SAINT FRANCIS","South Central Region"
"https://www.bop.gov/locations/institutions/ftd/","FTD","FCI Fort Dix","A low security federal correctional institution with an adjacent minimum security satellite camp.","5756 HARTFORD & POINTVILLE RDJOINT BASE MDL, NJ 08640","FTD-ExecAssistant-S@bop.gov","609-723-1100","Male",4088,"BURLINGTON","Northeast Region"
"https://www.bop.gov/locations/institutions/ftw/","FTW","FMC Fort Worth","An administrative security federal medical center with a detention center.","3150 HORTON ROAD FORT WORTH, TX 76119","FTW-ExecAssistant-S@bop.gov","817-534-8400","Male",1524,"Tarrant","South Central Region"
"https://www.bop.gov/locations/grand_prairie/","GRAND_PRAIRIE","Grand Prairie","An office complex providing services in human resources, inmate systems, and financial management.","U.S. Armed Forces Reserve Complex 346 Marine Forces DriveGrand Prairie, TX 75051",NA,NA,NA,NA,"DALLAS",NA
"https://www.bop.gov/locations/institutions/gre/","GRE","FCI Greenville","A medium security federal correctional institution with an adjacent minimum security satellite camp.","100 U.S. HWY 40 GREENVILLE, IL 62246","GRE-ExecAssistant-S@bop.gov","618-664-6200","Male and Female",1354,"Bond","North Central Region"
"https://www.bop.gov/locations/institutions/gua/","GUA","MDC Guaynabo","An administrative security metropolitan detention center.","652 CARRETERA 28 GUAYNABO, PR 00965","GUA-ExecAssistant-S@bop.gov","787-749-4480","Male and Female",1087,"GUAYNABO","Southeast Region"
"https://www.bop.gov/locations/institutions/haf/","HAF","FCI Hazelton","A medium security federal correctional institution with a secure female facility.","1640 SKY VIEW DRIVE BRUCETON MILLS, WV 26525","HAX-ExecAssistant-S@bop.gov","304-379-1500","Male and Female",2121,"PRESTON","Mid-Atlantic Region"
"https://www.bop.gov/locations/institutions/haz/","HAZ","USP Hazelton","A high security U.S. penitentiary with an adjacent minimum security satellite camp.","1640 SKY VIEW DRIVE BRUCETON MILLS, WV 26525","HAX-ExecAssistant-S@bop.gov","304-379-5000","Male",1424,"PRESTON","Mid-Atlantic Region"
"https://www.bop.gov/locations/institutions/her/","HER","FCI Herlong","A medium security federal correctional institution with an adjacent minimum security satellite camp.","741-925 ACCESS ROAD A-25 HERLONG, CA 96113","HER-ExecAssistant-S@bop.gov","530-827-8000","Male",1359,"Lassen","Western Region"
"https://www.bop.gov/locations/institutions/hon/","HON","FDC Honolulu","An administrative security federal detention center.","351 ELLIOTT ST HONOLULU, HI 96819","HON-ExecAssistant-S@bop.gov","808-838-4200","Male and Female",218,"Honolulu","Western Region"
"https://www.bop.gov/locations/institutions/hou/","HOU","FDC Houston","An administrative security federal detention center.","1200 TEXAS AVENUE HOUSTON, TX 77002","HOU-ExecAssistant-S@bop.gov","713-221-5400","Male and Female",902,"Harris","South Central Region"
"https://www.bop.gov/locations/institutions/jes/","JES","FCI Jesup","A medium security federal correctional institution with an adjacent low security satellite prison and a minimum security satellite camp.","2600 HIGHWAY 301 SOUTH JESUP, GA 31599","JES-ExecAssistant-S@bop.gov","912-427-0870","Male",1689,NA,"Southeast Region"
"https://www.bop.gov/locations/institutions/lat/","LAT","FCI La Tuna","A low security federal correctional institution with an adjacent minimum security satellite camp.","8500 DONIPHAN ROAD ANTHONY, TX 79821","LAT-ExecAssistant-S@bop.gov","915-791-9000","Male",776,"EL PASO","South Central Region"
"https://www.bop.gov/locations/institutions/lvn/","LVN","FCI Leavenworth","A medium security federal correctional institution with an adjacent minimum security satellite camp.","1300 METROPOLITAN LEAVENWORTH, KS 66048","LVN-ExecAssistant-S@bop.gov","913-682-8700","Male",1581,"Leavenworth","North Central Region"
"https://www.bop.gov/locations/institutions/lee/","LEE","USP Lee","A high security U.S. penitentiary with an adjacent minimum security satellite camp.","LEE COUNTY INDUSTRIAL PARK HICKORY FLATS ROADPENNINGTON GAP, VA 24277","LEE-ExecAssistant-S@bop.gov","276-546-0150","Male",1373,"Lee","Mid-Atlantic Region"
"https://www.bop.gov/locations/institutions/lew/","LEW","FCI Lewisburg","A medium security federal correctional institution with an adjacent minimum security satellite camp.","2400 ROBERT F. MILLER DRIVE LEWISBURG, PA 17837","LEW-ExecAssistant-S@bop.gov","570-523-1251","Male",1126,"UNION","Northeast Region"
"https://www.bop.gov/locations/institutions/lex/","LEX","FMC Lexington","An administrative security federal medical center with an adjacent minimum security satellite camp.","3301 LEESTOWN ROAD LEXINGTON, KY 40511","LEX-ExecAssistant-S@bop.gov","859-255-6812","Male and Female",1318,"Fayette","Mid-Atlantic Region"
"https://www.bop.gov/locations/institutions/lof/","LOF","FCI Lompoc I","A low security federal correctional institution.","3600 GUARD ROAD LOMPOC, CA 93436","LOX-ExecAssistant-S@bop.gov","805-736-4154","Male",835,"SANTA BARBARA","Western Region"
"https://www.bop.gov/locations/institutions/lom/","LOM","FCI Lompoc II","A low security federal correctional institution with an adjacent minimum security satellite camp.","3901 KLEIN BLVD LOMPOC, CA 93436","LOX-ExecAssistant-S@bop.gov","805-735-2771","Male",2117,"SANTA BARBARA","Western Region"
"https://www.bop.gov/locations/institutions/lor/","LOR","FCI Loretto","A low security federal correctional institution with an adjacent minimum security satellite camp.","772 SAINT JOSEPH ST. LORETTO, PA 15940","LOR-ExecAssistant-S@bop.gov","814-472-4140","Male",811,"CAMBRIA","Northeast Region"
"https://www.bop.gov/locations/institutions/los/","LOS","MDC Los Angeles","An administrative security metropolitan detention center.","535 N ALAMEDA STREET LOS ANGELES, CA 90012","LOS-ExecAssistant-S@bop.gov","213-485-0439","Male and Female",623,"Los Angeles","Western Region"
"https://www.bop.gov/locations/institutions/man/","MAN","FCI Manchester","A medium security federal correctional institution with an adjacent minimum security satellite camp.","805 FOX HOLLOW ROAD MANCHESTER, KY 40962","MAN-ExecAssistant-S@bop.gov","606-598-1900","Male",1065,"Clay","Mid-Atlantic Region"
"https://www.bop.gov/locations/institutions/mar/","MAR","FCI Marion","A medium security federal correctional institution with an adjacent minimum security satellite camp.","4500 PRISON ROAD MARION, IL 62959","MAR-ExecAssistant-S@bop.gov","618-964-1441","Male",1297,"Williamson","North Central Region"
"https://www.bop.gov/locations/institutions/mcr/","MCR","USP McCreary","A high security U.S. penitentiary with an adjacent minimum security satellite camp.","330 FEDERAL WAY PINE KNOT, KY 42635","MCR-ExecAssistant-S@bop.gov","606-354-7000","Male",1516,"McCreary","Mid-Atlantic Region"
"https://www.bop.gov/locations/institutions/mcd/","MCD","FCI McDowell","A medium security federal correctional institution with an adjacent minimum security satellite camp.","101 FEDERAL DRIVE WELCH, WV 24801","MCD-ExecAssistant-S@bop.gov","304-436-7300","Male",1590,"MCDOWELL","Mid-Atlantic Region"
"https://www.bop.gov/locations/institutions/mck/","MCK","FCI McKean","A medium security federal correctional institution with an adjacent minimum security satellite camp.","6975 ROUTE 59 LEWIS RUN, PA 16738","MCK-ExecAssistant-S@bop.gov","814-362-8900","Male",1146,"MCKEAN","Northeast Region"
"https://www.bop.gov/locations/institutions/mem/","MEM","FCI Memphis","A low security federal correctional institution with an adjacent minimum security satellite camp and a detention center.","1101 JOHN A DENIE ROAD MEMPHIS, TN 38134","MEM-ExecAssistant-S@bop.gov","901-372-2269","Male",1116,"SHELBY","Mid-Atlantic Region"
"https://www.bop.gov/locations/institutions/men/","MEN","FCI Mendota","A medium security federal correctional institution with an adjacent minimum security satellite camp.","33500 WEST CALIFORNIA AVENUE MENDOTA, CA 93640","MEN-ExecAssistant-S@bop.gov","559-274-4000","Male",878,"FRESNO","Western Region"
"https://www.bop.gov/locations/institutions/mia/","MIA","FCI Miami","A low security federal correctional institution with an adjacent minimum security satellite camp.","15801 S.W. 137TH AVENUE MIAMI, FL 33177","MIA-ExecAssistant-S@bop.gov","305-259-2100","Male",1047,"Miami-Dade","Southeast Region"
"https://www.bop.gov/locations/institutions/mim/","MIM","FDC Miami","An administrative security federal detention center.","33 NE 4TH STREET MIAMI, FL 33132","MIM-ExecAssistant-S@bop.gov","305-577-0010","Male and Female",941,"Miami-Dade","Southeast Region"
"https://www.bop.gov/locations/institutions/mil/","MIL","FCI Milan","A low security federal correctional institution with a detention center.","4004 EAST ARKONA ROAD MILAN, MI 48160","MIL-ExecAssistant-S@bop.gov","734-439-1511","Male",1572,"WASHTENAW","North Central Region"
"https://www.bop.gov/locations/institutions/mon/","MON","FPC Montgomery","A minimum security federal prison camp.","MAXWELL AIR FORCE BASE MONTGOMERY, AL 36112","MON-ExecAssistant-S@bop.gov","334-293-2100","Male",748,"MONTGOMERY","Southeast Region"
"https://www.bop.gov/locations/institutions/mrg/","MRG","FPC Morgantown","A minimum security federal prison camp.","446 GREENBAG ROAD, ROUTE 857 MORGANTOWN, WV 26501","MRG-ExecAssistant-S@bop.gov","304-296-4416","Male",401,"Monongalia","Mid-Atlantic Region"
"https://www.bop.gov/locations/institutions/nym/","NYM","MCC New York","An administrative security metropolitan correctional center.","150 PARK ROW NEW YORK, NY 10007",NA,"646-836-6300","Male",0,"New York","Northeast Region"
"https://www.bop.gov/locations/ccm/cnk/","CNK","RRM New York","A Residential Reentry Management (RRM) field office.","201 VARICK STREET ROOM 849NEW YORK, NY 10014","CNK-CCM-S@bop.gov","212-336-5419",NA,NA,"NEW YORK","Northeast Region"
"https://www.bop.gov/locations/institutions/oak/","OAK","FCI Oakdale I","A low security federal correctional institution.","1507 EAST WHATLEY ROAD OAKDALE, LA 71463","OAK-ExecAssistant-S@bop.gov","318-335-4070","Male",993,"ALLEN","South Central Region"
"https://www.bop.gov/locations/institutions/oad/","OAD","FCI Oakdale II","A low security federal correctional institution with an adjacent minimum security satellite camp.","2105 EAST WHATLEY ROAD OAKDALE, LA 71463","OAK-ExecAssistant-S@bop.gov","318-335-4466","Male",1170,"ALLEN","South Central Region"
"https://www.bop.gov/locations/institutions/okl/","OKL","FTC Oklahoma City","An administrative security federal transfer center.","7410 S. MACARTHUR BLVD OKLAHOMA CITY, OK 73169","OKL-ExecAssistant-S@bop.gov","405-682-4075","Male and Female",1381,"OKLAHOMA","South Central Region"
"https://www.bop.gov/locations/institutions/otv/","OTV","FCI Otisville","A medium security federal correctional institution with an adjacent minimum security satellite camp and a detention center.","TWO MILE DRIVE OTISVILLE, NY 10963","OTV-ExecAssistant-S@bop.gov","845-386-6700","Male",919,"ORANGE","Northeast Region"
"https://www.bop.gov/locations/institutions/oxf/","OXF","FCI Oxford","A low security federal correctional institution.","COUNTY ROAD G & ELK AVENUE OXFORD, WI 53952","OXF-ExecAssistant-S@bop.gov","608-584-5511","Male",1145,"ADAMS","North Central Region"
"https://www.bop.gov/locations/institutions/pek/","PEK","FCI Pekin","A medium security federal correctional institution with an adjacent minimum security satellite camp.","2600 S. SECOND ST. PEKIN, IL 61554","PEK-ExecAssistant-S@bop.gov","309-346-8588","Male and Female",1319,"TAZEWELL","North Central Region"
"https://www.bop.gov/locations/institutions/pen/","PEN","FPC Pensacola","A minimum security federal prison camp.","110 RABY AVE PENSACOLA, FL 32509","PEN-ExecAssistant-S@bop.gov","850-457-1911","Male",450,"ESCAMBIA","Southeast Region"
"https://www.bop.gov/locations/institutions/pet/","PET","FCI Petersburg Low","A low security federal correctional institution with an adjacent minimum security satellite camp.","1100 RIVER ROAD HOPEWELL, VA 23860","PEX-ExecAssistant-S@bop.gov","804-733-7881","Male",606,"Hopewell City","Mid-Atlantic Region"
"https://www.bop.gov/locations/institutions/pem/","PEM","FCI Petersburg Medium","A medium security federal correctional institution.","1060 RIVER ROAD HOPEWELL, VA 23860","PEX-ExecAssistant-S@bop.gov","804-504-7200","Male",1641,"Hopewell City","Mid-Atlantic Region"
"https://www.bop.gov/locations/institutions/phl/","PHL","FDC Philadelphia","An administrative security federal detention center.","700 ARCH STREET PHILADELPHIA, PA 19106","PHL-ExecAssistant-S@bop.gov","215-521-4000","Male and Female",884,"Philadelphia","Northeast Region"
"https://www.bop.gov/locations/ccm/cpa/","CPA","RRM Philadelphia","A Residential Reentry Management (RRM) field office.","2ND & CHESTNUT ST - 7TH FL PHILADELPHIA, PA 19106","CPA-CCM-S@bop.gov","445-201-8783",NA,NA,"PHILADELPHIA","Northeast Region"
"https://www.bop.gov/locations/institutions/phx/","PHX","FCI Phoenix","A medium security federal correctional institution with an adjacent minimum security satellite camp and a detention center.","37900 N 45TH AVE PHOENIX, AZ 85086","PHX-ExecAssistant-S@bop.gov","623-465-9757","Male and Female",1150,"Maricopa","Western Region"
"https://www.bop.gov/locations/ccm/cph/","CPH","RRM Phoenix","A Residential Reentry Management (RRM) field office.","230 N FIRST AVE, SUITE 405 PHOENIX, AZ 85003","CPH-CCM-S@bop.gov","602-333-0537",NA,NA,"MARICOPA","Western Region"
"https://www.bop.gov/locations/ccm/cpg/","CPG","RRM Pittsburgh","A Residential Reentry Management (RRM) field office.","1000 LIBERTY AVENUE,STE 1315 PITTSBURGH, PA 15222","CPG-CCM-S@bop.gov","412-395-7930",NA,NA,"ALLEGHENY","Northeast Region"
"https://www.bop.gov/locations/institutions/pom/","POM","FCI Pollock","A medium security federal correctional institution with an adjacent minimum security satellite camp.","1000 AIRBASE ROAD POLLOCK, LA 71467","POL-ExecAssistant-S@bop.gov","318-765-4400","Male",1726,"GRANT","South Central Region"
"https://www.bop.gov/locations/institutions/pol/","POL","USP Pollock","A high security U.S. penitentiary.","1000 AIRBASE ROAD POLLOCK, LA 71467","POL-ExecAssistant-S@bop.gov","318-561-5300","Male",1098,"Grant","South Central Region"
"https://www.bop.gov/locations/ccm/crl/","CRL","RRM Raleigh","A Residential Reentry Management (RRM) field office.","OLD NC 75 HIGHWAY BUTNER, NC 27509","CRL-CCM-S@bop.gov","919-964-6150",NA,NA,"GRANVILLE","Mid-Atlantic Region"
"https://www.bop.gov/locations/institutions/rbk/","RBK","FCI Ray Brook","A medium security federal correctional institution with a detention center.","128 RAY BROOK ROAD RAY BROOK, NY 12977","RBK-ExecAssistant-S@bop.gov","518-897-4000","Male",786,"Essex","Northeast Region"
"https://www.bop.gov/locations/institutions/rch/","RCH","FMC Rochester","An administrative security federal medical center.","2110 EAST CENTER STREET ROCHESTER, MN 55904","RCH-ExecAssistant-S@bop.gov","507-287-0674","Male",786,"OLMSTED","North Central Region"
"https://www.bop.gov/locations/institutions/saf/","SAF","FCI Safford","A low security federal correctional institution.","1529 WEST HIGHWAY 366 SAFFORD, AZ 85546","SAF-ExecAssistant-S@bop.gov","928-428-6600","Male",683,"Graham","Western Region"
"https://www.bop.gov/locations/ccm/csa","CSA","RRM San Antonio","A Residential Reentry Management (RRM) field office.","727 EAST CESAR E. CHAVEZ BLV SUITE B-138SAN ANTONIO, TX 78206","CSA-CCM-S@bop.gov","726-224-5472",NA,NA,"BEXAR","South Central Region"
"https://www.bop.gov/locations/institutions/sdc/","SDC","MCC San Diego","An administrative security metropolitan correctional center.","808 UNION STREET SAN DIEGO, CA 92101","SDC-ExecAssistant-S@bop.gov","619-232-4311","Male and Female",771,"San Diego","Western Region"
"https://www.bop.gov/locations/institutions/sst/","SST","FCI Sandstone","A low security federal correctional institution.","2300 COUNTY RD 29 SANDSTONE, MN 55072","SST-ExecAssistant-S@bop.gov","320-245-2262","Male",1197,"Pine","North Central Region"
"https://www.bop.gov/locations/institutions/sch/","SCH","FCI Schuylkill","A medium security federal correctional institution with an adjacent minimum security satellite camp.","INTERSTATE 81 & 901 W MINERSVILLE, PA 17954","SCH-ExecAssistant-S@bop.gov","570-544-7100","Male",1171,"SCHUYLKILL","Northeast Region"
"https://www.bop.gov/locations/institutions/sea/","SEA","FCI Seagoville","A low security federal correctional institution with an adjacent minimum security satellite camp and a detention center.","2113 NORTH HWY 175 SEAGOVILLE, TX 75159","SEA-ExecAssistant-S@bop.gov","972-287-2911","Male",1739,"Dallas","South Central Region"
"https://www.bop.gov/locations/institutions/set/","SET","FDC SeaTac","An administrative security federal detention center.","2425 SOUTH 200TH STREET SEATTLE, WA 98198","SET-ExecAssistant-S@bop.gov","206-870-5700","Male and Female",675,"King","Western Region"
"https://www.bop.gov/locations/ccm/cse","CSE","RRM Seattle","A Residential Reentry Management (RRM) field office.","2425 SOUTH 200 ST (AT FDC) SEATTLE, WA 98198","CSE-CCM-S@bop.gov","253-765-2769",NA,NA,"KING","Western Region"
"https://www.bop.gov/locations/institutions/she/","SHE","FCI Sheridan","A medium security federal correctional institution with an adjacent minimum security satellite camp and a detention center.","27072 BALLSTON ROAD SHERIDAN, OR 97378","SHE-ExecAssistant-S@bop.gov","503-843-4442","Male",1547,"YAMHILL","Western Region"
